epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,6216.11,0.65777,0.42761,0.81367,0.78884,0.53956,0.58159,0.43376,0.89034,1.29461,0.87372,0.000904601,0.000904601,0.000904601
78,6296.69,0.68298,0.45156,0.81448,0.80379,0.54053,0.59037,0.4048,1.04452,1.27468,0.89668,0.000901885,0.000901885,0.000901885
79,6377.24,0.69928,0.45515,0.8111,0.79366,0.56107,0.61332,0.45725,0.86027,1.01827,0.86114,0.000899169,0.000899169,0.000899169
80,6457.71,0.70643,0.48474,0.79807,0.86292,0.56112,0.60862,0.4429,0.97076,1.0579,0.876,0.000896454,0.000896454,0.000896454
81,6538.15,0.66502,0.449,0.79979,0.86367,0.56412,0.60186,0.45629,0.83034,1.02086,0.85764,0.000893738,0.000893738,0.000893738
82,6618.71,0.68862,0.45458,0.80737,0.74984,0.61123,0.60858,0.4367,0.99457,1.01312,0.87964,0.000891022,0.000891022,0.000891022
83,6698.98,0.68902,0.41761,0.81692,0.76428,0.59071,0.60368,0.46084,0.89973,1.00016,0.86768,0.000888306,0.000888306,0.000888306
84,6779.36,0.68082,0.42277,0.80995,0.74711,0.55338,0.59369,0.41352,1.04394,1.12473,0.89442,0.00088559,0.00088559,0.00088559
85,6859.92,0.73654,0.44156,0.81323,0.80904,0.53196,0.59039,0.37605,1.23901,1.24016,0.94736,0.000882875,0.000882875,0.000882875
86,6940.33,0.69364,0.43292,0.81927,0.7778,0.53265,0.59484,0.41806,0.96077,1.12723,0.90356,0.000880159,0.000880159,0.000880159
87,7020.7,0.70564,0.42518,0.81547,0.75901,0.53196,0.59383,0.38929,1.26061,1.24571,0.95464,0.000877443,0.000877443,0.000877443
88,7101.17,0.67358,0.39584,0.81016,0.76574,0.57705,0.66173,0.47198,0.99802,1.0831,0.89587,0.000874727,0.000874727,0.000874727
89,7181.82,0.6985,0.42705,0.8212,0.777,0.59563,0.65365,0.42923,1.17884,1.18852,0.93623,0.000872012,0.000872012,0.000872012
90,7262.83,0.69928,0.43421,0.81879,0.65486,0.6371,0.67096,0.44987,1.05762,1.14225,0.90824,0.000869296,0.000869296,0.000869296
91,7343.41,0.61429,0.39289,0.81593,0.7597,0.57542,0.61885,0.41017,1.0719,1.19541,0.91923,0.00086658,0.00086658,0.00086658
92,7423.98,0.62921,0.41634,0.79661,0.70134,0.58169,0.58891,0.42669,1.00006,1.17462,0.89856,0.000863864,0.000863864,0.000863864
93,7504.02,0.63908,0.40718,0.80443,0.81573,0.47833,0.58657,0.4295,0.96021,1.13258,0.88734,0.000861148,0.000861148,0.000861148
94,7584.48,0.62775,0.40155,0.79912,0.81976,0.49008,0.57531,0.42393,0.97196,0.99919,0.88039,0.000858433,0.000858433,0.000858433
95,7664.89,0.66081,0.43295,0.80329,0.7139,0.51576,0.5512,0.39505,1.02382,1.02362,0.89361,0.000855717,0.000855717,0.000855717
96,7745.36,0.64556,0.40693,0.80885,0.65055,0.59808,0.57135,0.41728,0.91121,0.909,0.8732,0.000853001,0.000853001,0.000853001
97,7825.84,0.66654,0.40649,0.81685,0.6872,0.59344,0.56468,0.39644,1.041,0.96349,0.89476,0.000850285,0.000850285,0.000850285
98,7906.29,0.71541,0.44073,0.82197,0.74644,0.57464,0.57402,0.42805,0.89317,1.06336,0.87457,0.00084757,0.00084757,0.00084757
99,7987.9,0.71351,0.45152,0.81533,0.74229,0.55536,0.58505,0.39866,1.06593,1.2438,0.90892,0.000844854,0.000844854,0.000844854
100,8068.55,0.68135,0.43076,0.80657,0.74785,0.56792,0.60393,0.43265,0.91672,1.11679,0.89774,0.000842138,0.000842138,0.000842138
101,8148.92,0.66668,0.41242,0.81741,0.75062,0.57333,0.60269,0.40284,1.03176,1.10993,0.92407,0.000839422,0.000839422,0.000839422
